# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.609524          	3.1646023804e-01	1.5823011902e-01	1.5823011902e-01	8.0099099923e-01	-6.9656139971e-02	8.7064713920e-01	-4.7015163959e-01	6.9040664351e-22	2.0575210013e-22	1.7422693404e-21	1.0768867703e-21	6.6538257007e-22
0.619048          	3.1995502726e-01	1.5997751363e-01	1.5997751363e-01	8.1317616125e-01	-6.9799217888e-02	8.8297537914e-01	-4.7638729851e-01	1.8733770295e-21	1.8225240660e-21	4.3520496894e-21	3.9985489107e-21	3.5350077874e-22
0.628571          	3.2023619550e-01	1.6011809775e-01	1.6011809775e-01	8.0227039285e-01	-6.8195298573e-02	8.7046569142e-01	-4.6933049500e-01	-9.5990730534e-22	-6.0556176861e-22	-2.3111399453e-21	-1.7611317413e-21	-5.5000820405e-22
0.638095          	3.2472814111e-01	1.6236407055e-01	1.6236407055e-01	8.0353940008e-01	-6.9276446873e-02	8.7281584696e-01	-4.7104614692e-01	1.4367679382e-22	1.5944759069e-22	5.4353654410e-22	4.3121586274e-22	1.1232068136e-22
0.647619          	3.2671135418e-01	1.6335567709e-01	1.6335567709e-01	8.1580390787e-01	-6.7587305078e-02	8.8339121295e-01	-4.7548925901e-01	-9.5786846632e-22	-2.7613725536e-22	-2.5152930152e-21	-1.5337837630e-21	-9.8150925224e-22
0.657143          	3.2567770229e-01	1.6283885114e-01	1.6283885114e-01	8.1732637584e-01	-6.5452623240e-02	8.8277899908e-01	-4.7411581116e-01	-1.5964850719e-21	-1.3791449198e-21	-3.7426553963e-21	-3.2504726179e-21	-4.9218277839e-22
0.666667          	3.2700192288e-01	1.6350096144e-01	1.6350096144e-01	8.1193169068e-01	-6.4439191646e-02	8.7637088232e-01	-4.7040503698e-01	9.7608227151e-22	1.0177952149e-22	2.6013071073e-21	1.4024330752e-21	1.1988740322e-21
0.67619           	3.3243519398e-01	1.6621759699e-01	1.6621759699e-01	8.4692322315e-01	-6.5223711639e-02	9.1214693479e-01	-4.8868532321e-01	9.1275702428e-22	3.4569290462e-22	2.1903805974e-21	1.4408832033e-21	7.4949739407e-22
0.685714          	3.3744234558e-01	1.6872117279e-01	1.6872117279e-01	8.3467884787e-01	-6.4627339967e-02	8.9930618783e-01	-4.8196676390e-01	-4.2340843249e-22	-6.4426949163e-22	-1.0936539285e-21	-1.1910964559e-21	9.7442527357e-23
0.695238          	3.3858170639e-01	1.6929085319e-01	1.6929085319e-01	8.3736619616e-01	-6.3083244304e-02	9.0044944047e-01	-4.8176634239e-01	-1.0929389596e-21	-5.5467404318e-22	-2.9675040517e-21	-2.0384260690e-21	-9.2907798268e-22
0.704762          	3.4110748275e-01	1.7055374137e-01	1.7055374137e-01	8.3945329413e-01	-6.3147417255e-02	9.0260071139e-01	-4.8287406432e-01	-1.4424048795e-21	-2.2458920933e-21	-2.7899208847e-21	-3.6408525356e-21	8.5093165094e-22
0.714286          	3.4187938515e-01	1.7093969257e-01	1.7093969257e-01	8.3717624539e-01	-6.2419228064e-02	8.9959547346e-01	-4.8100735076e-01	2.2288056175e-22	2.8519537198e-22	3.7979686491e-22	4.7509380443e-22	-9.5296939521e-23
0.72381           	3.4554245395e-01	1.7277122698e-01	1.7277122698e-01	8.4852667803e-01	-6.2128329877e-02	9.1065500791e-01	-4.8639166889e-01	-1.7594378039e-22	-3.3572393085e-22	-3.0092195841e-22	-4.8618491005e-22	1.8526295164e-22
0.733333          	3.4734766818e-01	1.7367383409e-01	1.7367383409e-01	8.4808183772e-01	-6.1322536400e-02	9.0940437412e-01	-4.8536345526e-01	-8.5331304903e-22	-6.1606547306e-22	-1.9942092384e-21	-1.6131700923e-21	-3.8103914614e-22
0.742857          	3.4392962054e-01	1.7196481027e-01	1.7196481027e-01	8.3066980539e-01	-5.8731962666e-02	8.8940176806e-01	-4.7406686536e-01	-8.6642025705e-22	-8.0217654322e-22	-2.2325228174e-21	-1.9184379519e-21	-3.1408486550e-22
0.752381          	3.4710409188e-01	1.7355204594e-01	1.7355204594e-01	8.2718359357e-01	-5.9457220830e-02	8.8664081440e-01	-4.7304901762e-01	-1.3789606175e-21	-1.7482009229e-21	-2.7721918448e-21	-3.1342968453e-21	3.6210500051e-22
0.761905          	3.5263777283e-01	1.7631888641e-01	1.7631888641e-01	8.3767018435e-01	-5.9267275968e-02	8.9693746032e-01	-4.7810236814e-01	-1.6266478603e-21	-1.4054793575e-21	-3.6734173809e-21	-3.2421880479e-21	-4.3122933297e-22
0.771429          	3.5072882737e-01	1.7536441369e-01	1.7536441369e-01	8.2928886150e-01	-5.6966302392e-02	8.8625516389e-01	-4.7161073314e-01	1.8779265960e-22	2.3621736522e-22	4.2097407404e-22	4.4670440223e-22	-2.5730328198e-23
0.780952          	3.5489156377e-01	1.7744578189e-01	1.7744578189e-01	8.4631003891e-01	-5.6496814014e-02	9.0280685293e-01	-4.7965183347e-01	1.2807370270e-22	-2.3346019097e-22	8.4835126976e-22	1.9071544390e-22	6.5763582585e-22
0.790476          	3.5846099366e-01	1.7923049683e-01	1.7923049683e-01	8.5118419111e-01	-5.6856371680e-02	9.0804056279e-01	-4.8244846724e-01	8.3697934394e-22	7.5206506005e-22	1.9095432243e-21	1.7068366722e-21	2.0270655210e-22
0.8               	3.6190064017e-01	1.8095032009e-01	1.8095032009e-01	8.6112072131e-01	-5.5935716504e-02	9.1705643782e-01	-4.8649607716e-01	4.5569309082e-22	4.7410181200e-22	9.2964736558e-22	9.3892549479e-22	-9.2781292065e-24
0.809091          	3.6706315592e-01	1.8353157796e-01	1.8353157796e-01	8.4799336366e-01	-5.7036176543e-02	9.0502954020e-01	-4.8103285837e-01	2.5877397750e-22	-5.3418959604e-22	8.5637543125e-22	-1.0600188042e-22	9.6237731166e-22
0.818182          	3.6167033475e-01	1.8083516738e-01	1.8083516738e-01	8.3701059257e-01	-5.4700567162e-02	8.9171115973e-01	-4.7320586344e-01	-9.5549009931e-22	-7.3653929613e-23	-2.8617934485e-21	-1.5045506539e-21	-1.3572427946e-21
0.827273          	3.6767415014e-01	1.8383707507e-01	1.8383707507e-01	8.5638276903e-01	-5.4835983608e-02	9.1121875264e-01	-4.8302736812e-01	-3.1916836031e-24	5.7866995903e-23	1.1368992313e-22	1.1471195747e-22	-1.0220343392e-24
0.836364          	3.7641034916e-01	1.8820517458e-01	1.8820517458e-01	8.8287292437e-01	-5.5247175082e-02	9.3812009945e-01	-4.9668363727e-01	-9.0102844941e-22	-1.0961890548e-21	-2.2250181657e-21	-2.2086981377e-21	-1.6320027993e-23
0.845455          	3.7515842673e-01	1.8757921336e-01	1.8757921336e-01	8.7384225881e-01	-5.3841536312e-02	9.2768379513e-01	-4.9076266572e-01	-4.7297279245e-21	-5.2232609405e-21	-1.0992590610e-20	-1.0719556245e-20	-2.7303436438e-22
