# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1.19998e-05       	1.7180308551e+03	8.5901542754e+02	8.5901542754e+02	5.9259770488e+03	-2.1464539510e+03	8.0724309998e+03	-5.1094424754e+03	-8.7997167877e-19	4.6699403292e-18	-9.6286513315e-19	4.1885077626e-18	-5.1513728958e-18
2.63998e-05       	1.5907572780e+01	7.9537863898e+00	7.9537863898e+00	5.0665733283e+01	-2.5768904637e+01	7.6434637920e+01	-5.1101771279e+01	4.0541833017e-19	1.6385272252e-19	8.3370569265e-19	5.8070556884e-19	2.5300012381e-19
4.36791e-05       	2.8260135982e+00	1.4130067991e+00	1.4130067991e+00	2.7178688555e+00	-3.9324145702e+00	6.6502834258e+00	-5.2913489980e+00	-2.1246301610e-21	2.9056600644e-21	-1.8411342569e-21	1.9850929360e-21	-3.8262271928e-21
6.4415e-05        	3.5509204815e+00	1.7754602407e+00	1.7754602407e+00	-1.3292627353e+01	-3.1653464843e+00	-1.0127280869e+01	3.4809671924e+00	1.8816113288e-19	9.9606104364e-20	3.7683125919e-19	2.8802173396e-19	8.8809525231e-20
8.92981e-05       	2.2063491388e+00	1.1031745694e+00	1.1031745694e+00	-1.0314307072e+00	-1.6654977240e+00	6.3406701680e-01	-1.1497823704e+00	1.6654528243e-20	2.6185156259e-20	3.7578505528e-20	4.4974409023e-20	-7.3959034947e-21
0.000119158       	2.2745664304e+00	1.1372832152e+00	1.1372832152e+00	-9.7333124474e-01	-1.3462554803e+00	3.7292423554e-01	-8.5958985790e-01	-2.3727028697e-20	-3.1069642410e-22	-3.3366285225e-20	-1.6993839037e-20	-1.6372446189e-20
0.000154992       	2.0786544493e+00	1.0393272246e+00	1.0393272246e+00	-4.0893125116e+00	-1.3583856812e+00	-2.7309268304e+00	6.8627057462e-01	-5.4410890791e-20	-3.3885425959e-20	-1.0652840546e-19	-8.7149628689e-20	-1.9378776772e-20
0.000197997       	1.9900913696e+00	9.9504568479e-01	9.9504568479e-01	5.2106694616e-02	-1.4643740777e+00	1.5164807723e+00	-1.4904274250e+00	-3.2538663853e-20	-3.9947606777e-20	-7.1888700852e-20	-7.5891957203e-20	4.0032563504e-21
0.000249599       	1.9760408424e+00	9.8802042122e-01	9.8802042122e-01	2.4493671485e-01	-1.1711394650e+00	1.4160761799e+00	-1.2936078224e+00	-1.6631033047e-21	-2.2837130329e-21	-3.2868025193e-21	-3.9271142925e-21	6.4031177325e-22
0.000311517       	1.9847213346e+00	9.9236066728e-01	9.9236066728e-01	-5.5570647133e-02	-1.1125817488e+00	1.0570111016e+00	-1.0847964252e+00	-3.6424086401e-21	-1.5461713307e-21	-7.1857224062e-21	-5.1390325339e-21	-2.0466898724e-21
0.000385806       	2.0766497808e+00	1.0383248904e+00	1.0383248904e+00	-8.1423954427e-01	-1.2678466294e+00	4.5360708514e-01	-8.6072685728e-01	-8.3724970367e-21	1.3231127566e-20	-1.2741129900e-20	6.8605626162e-21	-1.9601692516e-20
0.00047496        	1.9383176342e+00	9.6915881709e-01	9.6915881709e-01	6.0108368642e-01	-1.0910308762e+00	1.6921145626e+00	-1.3915727194e+00	4.6325041739e-21	-2.2994106819e-22	9.9480061140e-21	4.7440619888e-21	5.2039441252e-21
0.000581944       	2.0880661460e+00	1.0440330730e+00	1.0440330730e+00	1.0410016342e+00	-1.1193759378e+00	2.1603775720e+00	-1.6398767549e+00	5.0888746537e-21	1.8097429995e-20	8.0335508949e-21	2.2114205442e-20	-1.4080654547e-20
0.000710352       	1.9120709786e+00	9.5603548932e-01	9.5603548932e-01	9.2442958551e-01	-1.0421610716e+00	1.9665906571e+00	-1.5043758643e+00	3.9313521972e-21	2.7008363538e-21	8.6534971982e-21	7.0275849528e-21	1.6259122453e-21
0.000864481       	1.8593627543e+00	9.2968137716e-01	9.2968137716e-01	9.7969347407e-01	-1.0112234335e+00	1.9909169075e+00	-1.5010701705e+00	9.8281728927e-21	1.8092145625e-21	1.9505447628e-20	1.1561938376e-20	7.9435092513e-21
0.00104938        	1.8137202112e+00	9.0686010561e-01	9.0686010561e-01	1.0154325259e+00	-9.8329279375e-01	1.9987253196e+00	-1.4910090567e+00	-4.1222867465e-21	-3.4624942149e-21	-8.1161038392e-21	-7.5205461345e-21	-5.9555770466e-22
0.00127118        	1.7902519160e+00	8.9512595802e-01	8.9512595802e-01	6.5450308571e-01	-9.8546875572e-01	1.6399718414e+00	-1.3127202986e+00	1.8035693209e-21	3.5017975621e-21	3.0076818386e-21	5.0056384814e-21	-1.9979566428e-21
0.00153721        	1.7244698519e+00	8.6223492594e-01	8.6223492594e-01	1.0021309854e+00	-9.3246298751e-01	1.9345939729e+00	-1.4335284802e+00	-1.2224352402e-21	9.2967074551e-22	-2.4345846632e-21	-2.8762158608e-22	-2.1469630771e-21
0.00185628        	1.6715786612e+00	8.3578933059e-01	8.3578933059e-01	1.0522576664e+00	-9.0091887696e-01	1.9531765433e+00	-1.4270477101e+00	3.2222738670e-21	1.4989413904e-21	6.8295025493e-21	4.9136926650e-21	1.9158098842e-21
0.0022388         	1.6161282708e+00	8.0806413540e-01	8.0806413540e-01	1.0803763272e+00	-8.6967573168e-01	1.9500520589e+00	-1.4098638953e+00	-2.0685295530e-21	-9.9421502711e-22	-3.9808218916e-21	-2.9846259729e-21	-9.9619591869e-22
0.00269764        	1.5570930223e+00	7.7854651114e-01	7.7854651114e-01	1.0990645703e+00	-8.3707948039e-01	1.9361440507e+00	-1.3866117655e+00	3.4242853177e-21	1.7141919759e-21	6.6730061696e-21	5.0506950607e-21	1.6223111089e-21
0.00324877        	1.4941812056e+00	7.4709060278e-01	7.4709060278e-01	1.1112989317e+00	-8.0314154505e-01	1.9144404768e+00	-1.3587910109e+00	-1.9978367543e-21	5.1337542044e-22	-4.1141715625e-21	-1.5437103608e-21	-2.5704612017e-21
0.00390901        	1.4277144959e+00	7.1385724795e-01	7.1385724795e-01	1.1194406320e+00	-7.6764108747e-01	1.8870817195e+00	-1.3273614035e+00	-7.8809072375e-22	-6.2018846375e-22	-1.8722546933e-21	-1.5563158104e-21	-3.1593888287e-22
0.0046997         	1.3579317965e+00	6.7896589824e-01	6.7896589824e-01	1.1026063956e+00	-7.3043613040e-01	1.8330425260e+00	-1.2817393282e+00	1.6679326513e-21	2.2944300278e-21	3.2805308335e-21	3.9346954446e-21	-6.5416461104e-22
0.00564775        	1.2857746427e+00	6.4288732134e-01	6.4288732134e-01	1.1175714215e+00	-6.9072395134e-01	1.8082953729e+00	-1.2495096621e+00	1.4159534112e-21	6.5696791326e-22	2.8622682806e-21	2.0881020536e-21	7.7416622706e-22
0.00678432        	1.2108815009e+00	6.0544075046e-01	6.0544075046e-01	1.1126177549e+00	-6.4946642814e-01	1.7620841831e+00	-1.2057753056e+00	3.7193527928e-24	1.2625305407e-22	-2.2652327857e-24	1.2512043767e-22	-1.2738567046e-22
0.00814499        	1.1331148332e+00	5.6655741662e-01	5.6655741662e-01	1.1245611000e+00	-6.0585836299e-01	1.7304194630e+00	-1.1681389130e+00	1.1377128834e-23	5.0412097566e-22	1.9203108971e-22	6.0013652052e-22	-4.0810543080e-22
0.00977088        	1.0554260310e+00	5.2771301551e-01	5.2771301551e-01	1.0999567852e+00	-5.6347846800e-01	1.6634352532e+00	-1.1134568606e+00	-7.7268462356e-22	-2.0584983918e-22	-1.5685956613e-21	-9.9014766984e-22	-5.7844799147e-22
0.011712          	9.7719103704e-01	4.8859551852e-01	4.8859551852e-01	1.0827230230e+00	-5.1972392754e-01	1.6024469506e+00	-1.0610854391e+00	-8.5644019446e-23	3.6471548148e-22	-1.5462848696e-22	2.8740123800e-22	-4.4202972496e-22
0.0140365         	8.9964280346e-01	4.4982140173e-01	4.4982140173e-01	1.0646255529e+00	-4.7657517255e-01	1.5412007254e+00	-1.0088879490e+00	6.1971004181e-22	2.9791523266e-22	1.0439848989e-21	8.1990768210e-22	2.2407721677e-22
0.0168121         	8.2458852061e-01	4.1229426031e-01	4.1229426031e-01	1.0447480329e+00	-4.3505237424e-01	1.4798004071e+00	-9.5742639067e-01	8.1844367026e-22	1.0337878562e-21	1.8392300993e-21	1.9534029059e-21	-1.1417280662e-22
0.0201428         	7.5289536103e-01	3.7644768051e-01	3.7644768051e-01	1.0226831146e+00	-3.9548190920e-01	1.4181650238e+00	-9.0682346652e-01	3.0561833651e-22	1.2845789971e-21	6.5004278941e-22	1.6096003918e-21	-9.5955760240e-22
0.0241396         	6.8568969319e-01	3.4284484660e-01	3.4284484660e-01	9.9859465729e-01	-3.5857892613e-01	1.3571735834e+00	-8.5787625478e-01	9.8714426101e-23	1.0320234709e-21	2.1678133659e-22	1.1404141392e-21	-9.2363280263e-22
0.0288926         	6.2469149222e-01	3.1234574611e-01	3.1234574611e-01	9.5071353268e-01	-3.2407584212e-01	1.2747893748e+00	-7.9943260846e-01	-4.0266007851e-22	2.8378429808e-22	-8.6401830573e-22	-1.4822485479e-22	-7.1579345094e-22
0.0344122         	5.7070618060e-01	2.8535309030e-01	2.8535309030e-01	9.3341842011e-01	-2.9496405213e-01	1.2283824722e+00	-7.6167326219e-01	9.5325283419e-22	4.6085396603e-22	1.9537227624e-21	1.4377153472e-21	5.1600741519e-22
0.040781          	5.2333904645e-01	2.6166952322e-01	2.6166952322e-01	8.9674859669e-01	-2.6872452604e-01	1.1654731227e+00	-7.1709882439e-01	-8.2769417555e-22	-3.3284114482e-22	-1.7357324550e-21	-1.2007073723e-21	-5.3502508267e-22
0.0480182         	4.8243029726e-01	2.4121514863e-01	2.4121514863e-01	8.5053703581e-01	-2.4573139564e-01	1.0962684314e+00	-6.7099991354e-01	-6.5775079804e-22	-3.9674396952e-22	-1.3493316721e-21	-1.0714098056e-21	-2.7792186652e-22
0.0560172         	4.4758168503e-01	2.2379084252e-01	2.2379084252e-01	7.9399766510e-01	-2.2591722126e-01	1.0199148864e+00	-6.2291605381e-01	-3.2800908082e-22	-4.0717592438e-22	-6.8509942862e-22	-7.4972563868e-22	6.4626210068e-23
0.0650162         	4.1708563793e-01	2.0854281897e-01	2.0854281897e-01	7.3152081050e-01	-2.0862006240e-01	9.4014087290e-01	-5.7438046765e-01	3.4623358028e-22	4.5069699638e-22	7.8604609149e-22	8.4372004212e-22	-5.7673950635e-23
0.0753995         	3.8951325642e-01	1.9475662821e-01	1.9475662821e-01	6.5988795989e-01	-1.9297272229e-01	8.5286068218e-01	-5.2291670223e-01	9.7216866387e-22	6.0761819417e-22	2.0093724008e-21	1.6123043946e-21	3.9706800625e-22
0.0857829         	3.6567299943e-01	1.8283649972e-01	1.8283649972e-01	5.5043250140e-01	-1.8002595214e-01	7.3045845354e-01	-4.5524220284e-01	-5.0792954191e-23	-1.7585627037e-22	-4.1961006134e-23	-1.9683677344e-22	1.5487576731e-22
0.0961663         	3.4571367757e-01	1.7285683879e-01	1.7285683879e-01	4.6117293343e-01	-1.6948881130e-01	6.3066174473e-01	-4.0007527802e-01	-5.1729808280e-22	-1.5616015652e-21	-1.1454496559e-21	-2.1343263932e-21	9.8887673726e-22
0.10655           	3.3218145909e-01	1.6609072955e-01	1.6609072955e-01	4.4120988214e-01	-1.6347068361e-01	6.0468056575e-01	-3.8407562468e-01	5.4734920965e-22	1.0261752312e-21	1.1937497822e-21	1.6230501223e-21	-4.2930034012e-22
0.116933          	3.1499901700e-01	1.5749950850e-01	1.5749950850e-01	5.9356468526e-01	-1.5107214072e-01	7.4463682598e-01	-4.4785448335e-01	-4.6638520318e-22	6.9586672533e-22	-1.0610042393e-21	1.6536460568e-22	-1.2263688450e-21
0.127316          	3.1653154160e-01	1.5826577080e-01	1.5826577080e-01	6.4957281992e-01	-1.5155056260e-01	8.0112338252e-01	-4.7633697256e-01	-1.3141308450e-23	4.1375643031e-22	-4.3108485537e-23	3.9220218755e-22	-4.3531067308e-22
