# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.609524           1.5823011902e-01 4.0049549962e-01 -8.7113467019e-22 9.2409797680e-02 4.0865847554e-01 -6.7141144967e-22 6.5820321342e-02 -8.1629759287e-03 -1.9972322052e-22
0.619048           1.5997751363e-01 4.0658808063e-01 -2.1760248447e-21 9.4545545962e-02 4.1479573999e-01 -2.4340514170e-21 6.5431967666e-02 -8.2076593595e-03 2.5802657229e-22
0.628571           1.6011809775e-01 4.0113519642e-01 1.1555699727e-21 9.5042594999e-02 4.0940202692e-01 1.4380133500e-21 6.5075502751e-02 -8.2668304924e-03 -2.8244337732e-22
0.638095           1.6236407055e-01 4.0176970004e-01 -2.7176827205e-22 9.7577534275e-02 4.1010693950e-01 -4.4922996712e-22 6.4786536278e-02 -8.3372394628e-03 1.7746169507e-22
0.647619           1.6335567709e-01 4.0790195393e-01 1.2576465076e-21 9.8919446852e-02 4.1628169956e-01 1.0343451173e-21 6.4436230235e-02 -8.3797456249e-03 2.2330139031e-22
0.657143           1.6283885114e-01 4.0866318792e-01 1.8713276981e-21 9.8813001229e-02 4.1707405478e-01 1.4688271680e-21 6.4025849914e-02 -8.4108668643e-03 4.0250053018e-22
0.666667           1.6350096144e-01 4.0596584534e-01 -1.3006535537e-21 9.9837067826e-02 4.1442102348e-01 -1.2068689034e-21 6.3663893615e-02 -8.4551781420e-03 -9.3784650233e-23
0.67619            1.6621759699e-01 4.2346161157e-01 -1.0951902987e-21 1.0299186804e-01 4.3191503348e-01 -1.2227802907e-21 6.3225728955e-02 -8.4534219104e-03 1.2758999200e-22
0.685714           1.6872117279e-01 4.1733942393e-01 5.4682696427e-22 1.0574182457e-01 4.2584310739e-01 3.4412794221e-22 6.2979348220e-02 -8.5036834564e-03 2.0269902206e-22
0.695238           1.6929085319e-01 4.1868309808e-01 1.4837520259e-21 1.0660886855e-01 4.2722436130e-01 1.6316402093e-21 6.2681984642e-02 -8.5412632137e-03 -1.4788818341e-22
0.704762           1.7055374137e-01 4.1972664707e-01 1.3949604423e-21 1.0816059135e-01 4.2831002718e-01 1.6029493481e-21 6.2393150028e-02 -8.5833801103e-03 -2.0798890579e-22
0.714286           1.7093969257e-01 4.1858812270e-01 -1.8989843246e-22 1.0884104341e-01 4.2722540212e-01 -2.1205217854e-23 6.2098649168e-02 -8.6372794189e-03 -1.6869321460e-22
0.72381            1.7277122698e-01 4.2426333902e-01 1.5046097920e-22 1.1097783967e-01 4.3293707398e-01 -1.0037176469e-22 6.1793387310e-02 -8.6737349641e-03 2.5083274390e-22
0.733333           1.7367383409e-01 4.2404091886e-01 9.9710461920e-22 1.1217380419e-01 4.3275326560e-01 7.4720556006e-22 6.1500029902e-02 -8.7123467445e-03 2.4989905915e-22
0.742857           1.7196481027e-01 4.1533490270e-01 1.1162614087e-21 1.1077698030e-01 4.2409745765e-01 7.7724888338e-22 6.1187829969e-02 -8.7625549563e-03 3.3901252534e-22
0.752381           1.7355204594e-01 4.1359179679e-01 1.3860959224e-21 1.1261604140e-01 4.2241924051e-01 1.0813924752e-21 6.0936004541e-02 -8.8274437219e-03 3.0470344725e-22
0.761905           1.7631888641e-01 4.1883509218e-01 1.8367086904e-21 1.1560984809e-01 4.2771696797e-01 2.5892269543e-21 6.0709038323e-02 -8.8818757940e-03 -7.5251826384e-22
0.771429           1.7536441369e-01 4.1464443075e-01 -2.1048703702e-22 1.1492046424e-01 4.2357764660e-01 -1.4810511039e-22 6.0443949448e-02 -8.9332158478e-03 -6.2381926625e-23
0.780952           1.7744578189e-01 4.2315501946e-01 -4.2417563488e-22 1.1730848332e-01 4.3211278524e-01 -1.0064163030e-21 6.0137298566e-02 -8.9577657784e-03 5.8224066808e-22
0.790476           1.7923049683e-01 4.2559209556e-01 -9.5477161215e-22 1.1936065864e-01 4.3458262035e-01 -1.1262347179e-21 5.9869838190e-02 -8.9905247921e-03 1.7146310579e-22
0.8                1.8095032009e-01 4.3056036066e-01 -4.6482368279e-22 1.2136300144e-01 4.3957136901e-01 -4.4752668417e-22 5.9587318646e-02 -9.0110083529e-03 -1.7296998622e-23
0.809091           1.8353157796e-01 4.2399668183e-01 -4.2818771562e-22 1.2401305041e-01 4.3310379878e-01 -2.3816015263e-22 5.9518527547e-02 -9.1071169468e-03 -1.9002756299e-22
0.818182           1.8083516738e-01 4.1850529628e-01 1.4308967242e-21 1.2156056799e-01 4.2766954922e-01 1.4034600646e-21 5.9274599390e-02 -9.1642529397e-03 2.7436659679e-23
0.827273           1.8383707507e-01 4.2819138452e-01 -5.6844961564e-23 1.2480749794e-01 4.3738765254e-01 -2.5427182485e-22 5.9029577128e-02 -9.1962680253e-03 1.9742686329e-22
0.836364           1.8820517458e-01 4.4143646218e-01 1.1125090828e-21 1.2940306081e-01 4.5064182234e-01 1.1639714224e-21 5.8802113769e-02 -9.2053601541e-03 -5.1462339610e-23
0.845455           1.8757921336e-01 4.3692112941e-01 5.4962953049e-21 1.2901587370e-01 4.4615045369e-01 5.7315114165e-21 5.8563339663e-02 -9.2293242823e-03 -2.3521611157e-22
0.854545           1.8657289580e-01 4.2349997946e-01 2.0017436253e-21 1.2816585617e-01 4.3280256830e-01 1.5675844733e-21 5.8407039636e-02 -9.3025888447e-03 4.3415915205e-22
0.863636           1.8755933308e-01 4.3521641956e-01 3.1368028029e-21 1.2945235520e-01 4.4452268563e-01 3.6984778124e-21 5.8106977876e-02 -9.3062660694e-03 -5.6167500946e-22
0.872727           1.8673794746e-01 4.3711163075e-01 2.8570503127e-22 1.2901191687e-01 4.4639702422e-01 -3.9037267083e-22 5.7726030587e-02 -9.2853934628e-03 6.7607770210e-22
0.881818           1.8995516584e-01 4.4124463414e-01 1.7622732185e-22 1.3249344467e-01 4.5053692961e-01 -4.6869995466e-23 5.7461721178e-02 -9.2922954708e-03 2.2309731731e-22
0.890909           1.9203416827e-01 4.4442393682e-01 -1.8987983585e-21 1.3481052595e-01 4.5372563673e-01 -1.9634339432e-21 5.7223642322e-02 -9.3016999062e-03 6.4635584711e-23
0.9                1.8985388569e-01 4.3885139178e-01 3.3366284568e-22 1.3293606119e-01 4.4815992639e-01 3.7325185258e-23 5.6917824499e-02 -9.3085346103e-03 2.9633766042e-22
0.909091           1.9384974811e-01 4.4609153315e-01 -4.4257868038e-22 1.3716135789e-01 4.5542354704e-01 -5.6341662802e-22 5.6688390220e-02 -9.3320138946e-03 1.2083794764e-22
0.918182           1.9307876948e-01 4.3928623540e-01 -2.6269147309e-22 1.3660178601e-01 4.4866581122e-01 -1.1883510762e-22 5.6476983471e-02 -9.3795758212e-03 -1.4385636547e-22
0.927273           1.9555480956e-01 4.1646484331e-01 3.0034321024e-22 1.3893628998e-01 4.2602846795e-01 -1.5854488702e-22 5.6618519589e-02 -9.5636246467e-03 4.5888809726e-22
0.936364           2.0036369260e-01 4.4147758039e-01 1.3932588293e-21 1.4384045336e-01 4.5108444939e-01 1.5238834737e-21 5.6523239241e-02 -9.6068690084e-03 -1.3062464437e-22
0.945455           2.0153271391e-01 4.3896214872e-01 -3.0152498349e-22 1.4508346504e-01 4.4862958379e-01 -9.5932633282e-22 5.6449248867e-02 -9.6674350686e-03 6.5780134932e-22
0.954545           1.9187627685e-01 4.0952188193e-01 6.9102327591e-22 1.3559836484e-01 4.1927518587e-01 7.9187163630e-22 5.6277912006e-02 -9.7533039396e-03 -1.0084836039e-22
0.963636           2.0286663875e-01 4.4485785193e-01 1.2745361241e-21 1.4678136791e-01 4.5461767630e-01 1.0356083110e-21 5.6085270834e-02 -9.7598243659e-03 2.3892781309e-22
0.972727           1.9988339579e-01 4.3729158812e-01 3.6247163034e-21 1.4404159501e-01 4.4706172684e-01 3.5060103304e-21 5.5841800780e-02 -9.7701387163e-03 1.1870597296e-22
0.981818           2.0365394791e-01 4.4555480097e-01 3.5128717621e-22 1.4801032230e-01 4.5533282526e-01 8.9501435544e-22 5.5643625612e-02 -9.7780242914e-03 -5.4372717923e-22
0.990909           2.0765603322e-01 4.4953882380e-01 1.6331994669e-21 1.5211820657e-01 4.5934672610e-01 2.6372509379e-21 5.5537826656e-02 -9.8079023034e-03 -1.0040514711e-21
1                  2.0648788692e-01 4.4735055107e-01 -1.2132369393e-21 1.5113657980e-01 4.5717265280e-01 -1.4723629931e-21 5.5351307113e-02 -9.8221017316e-03 2.5912605382e-22
1.0087             2.0574767446e-01 4.4419808972e-01 -1.3042858454e-21 1.5058002373e-01 4.5405570377e-01 -1.6194744184e-21 5.5167650728e-02 -9.8576140455e-03 3.1518857309e-22
1.01739            2.0014383343e-01 4.3303332006e-01 1.1149737690e-21 1.4527637277e-01 4.4291188559e-01 9.7193893974e-22 5.4867460657e-02 -9.8785655259e-03 1.4303482924e-22
1.02609            2.0560626049e-01 4.3648239892e-01 1.7135334820e-21 1.5084973893e-01 4.4641606152e-01 2.0117342662e-21 5.4756521564e-02 -9.9336625980e-03 -2.9820078422e-22
1.03478            2.0789680011e-01 4.3627788313e-01 -1.5193400367e-22 1.5320763546e-01 4.4627685211e-01 -3.1692912940e-22 5.4689164650e-02 -9.9989689767e-03 1.6499512574e-22
1.04348            2.0952281753e-01 4.4710203288e-01 -2.6664435722e-22 1.5503542325e-01 4.5710277301e-01 -1.1825402285e-21 5.4487394288e-02 -1.0000740125e-02 9.1589587131e-22
1.05217            2.1084315403e-01 4.5011073861e-01 -2.1754366311e-21 1.5656025645e-01 4.6010926703e-01 -1.8798708492e-21 5.4282897575e-02 -9.9985284219e-03 -2.9556578193e-22
1.06087            2.1208598674e-01 4.5159786535e-01 2.0259446819e-22 1.5799565721e-01 4.6159877970e-01 9.0400115651e-22 5.4090329524e-02 -1.0000914344e-02 -7.0140668831e-22
1.06957            2.1403162601e-01 4.5494287368e-01 5.8853297402e-22 1.6012556439e-01 4.6494475471e-01 6.1862923011e-22 5.3906061627e-02 -1.0001881027e-02 -3.0096256091e-23
1.07826            2.1392771607e-01 4.5340373200e-01 -3.4930965702e-22 1.6021543808e-01 4.6340740392e-01 -1.7110186493e-22 5.3712277981e-02 -1.0003671913e-02 -1.7820779209e-22
1.08696            2.1528703377e-01 4.5568630399e-01 -1.8957329093e-21 1.6176572338e-01 4.6568922325e-01 -1.8543767985e-21 5.3521310394e-02 -1.0002919261e-02 -4.1356110774e-23
1.09565            2.1427451705e-01 4.4307131379e-01 -3.8199410235e-21 1.6084219197e-01 4.5313294486e-01 -4.2241287456e-21 5.3432325077e-02 -1.0061631067e-02 4.0418772212e-22
1.10435            2.2134138399e-01 4.6721928616e-01 1.6911050139e-21 1.6810137937e-01 4.7726017713e-01 1.5117105232e-21 5.3240004622e-02 -1.0040890971e-02 1.7939449079e-22
1.11304            2.1786697321e-01 4.5490717235e-01 -1.4169567055e-22 1.6479436420e-01 4.6497854262e-01 -5.6044213562e-22 5.3072609013e-02 -1.0071370270e-02 4.1874646507e-22
1.12174            2.1453310303e-01 4.4347634365e-01 2.1486627489e-21 1.6163627975e-01 4.5359269303e-01 2.6963015268e-21 5.2896823276e-02 -1.0116349380e-02 -5.4763877797e-22
1.13043            2.2594050271e-01 4.6416037232e-01 1.5188706933e-21 1.7306115833e-01 4.7431758527e-01 1.2192516029e-21 5.2879344375e-02 -1.0157212946e-02 2.9961909036e-22
1.13913            2.1749910299e-01 4.4779782451e-01 3.9042219634e-22 1.6483854971e-01 4.5795840272e-01 2.0696181668e-22 5.2660553276e-02 -1.0160578215e-02 1.8346037965e-22
1.14783            2.1906221766e-01 4.5663935593e-01 2.6061473765e-21 1.6669040928e-01 4.6676156997e-01 2.7136023858e-21 5.2371808373e-02 -1.0122214032e-02 -1.0745500929e-22
1.15652            2.2439433833e-01 4.6492432232e-01 -3.2566142790e-22 1.7218232709e-01 4.7504042127e-01 -7.0043016535e-23 5.2212011244e-02 -1.0116098945e-02 -2.5561841136e-22
1.16522            2.2397601385e-01 4.6156766994e-01 -4.5577119368e-22 1.7192821739e-01 4.7168471489e-01 -3.7373673766e-22 5.2047796455e-02 -1.0117044951e-02 -8.2034456023e-23
1.17391            2.2575030856e-01 4.6491284807e-01 -9.9154532016e-22 1.7387362574e-01 4.7502213801e-01 -1.2481423492e-21 5.1876682828e-02 -1.0109289935e-02 2.5659702900e-22
1.18261            2.2940586430e-01 4.7128779790e-01 -1.9957492829e-21 1.7767371345e-01 4.8138925304e-01 -2.5782641744e-21 5.1732150851e-02 -1.0101455134e-02 5.8251489150e-22
1.1913             2.2640381562e-01 4.6297560102e-01 1.3956553951e-21 1.7485524786e-01 4.7307386495e-01 1.6950692328e-21 5.1548567761e-02 -1.0098263937e-02 -2.9941383769e-22
1.2                2.3466896266e-01 4.8255075792e-01 -1.6493433819e-21 1.8327587551e-01 4.9261972771e-01 -2.3896146317e-21 5.1393087155e-02 -1.0068969785e-02 7.4027124980e-22
1.20833            2.3000594765e-01 4.6793872434e-01 1.9672633540e-21 1.7875019056e-01 4.7803041392e-01 1.6867967473e-21 5.1255757091e-02 -1.0091689580e-02 2.8046660667e-22
1.21667            2.2685666591e-01 4.5191921240e-01 3.1552205270e-21 1.7566398943e-01 4.6209257673e-01 4.2698935312e-21 5.1192676483e-02 -1.0173364326e-02 -1.1146730042e-21
1.225              2.2620463878e-01 4.7052223988e-01 3.2463211800e-21 1.7543392360e-01 4.8059418961e-01 2.8624513917e-21 5.0770715177e-02 -1.0071949730e-02 3.8386978826e-22
1.23333            2.2743948638e-01 4.6214421260e-01 7.0111384825e-22 1.7685070774e-01 4.7221505542e-01 2.1061071524e-22 5.0588778646e-02 -1.0070842829e-02 4.9050313301e-22
