# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.609524           3.4520332176e-22 1.0287605006e-22 2.3507581979e-01 2.6691365946e-22 1.3539357746e-22 2.0805815603e-01 7.8289662298e-23 -3.2517527394e-23 2.7017663763e-02
0.619048           9.3668851473e-22 9.1126203298e-22 2.3819364926e-01 1.0338316263e-21 9.7694353211e-22 2.1145528385e-01 -9.7143111593e-23 -6.5681499133e-23 2.6738365412e-02
0.628571           -4.7995365267e-22 -3.0278088431e-22 2.3466524750e-01 -5.8668229728e-22 -2.7995678463e-22 2.0819865797e-01 1.0672864461e-22 -2.2824099676e-23 2.6466589531e-02
0.638095           7.1838396908e-23 7.9723795343e-23 2.3552307346e-01 1.6412344722e-22 1.3967682103e-22 2.0930075640e-01 -9.2285050308e-23 -5.9953025688e-23 2.6222317053e-02
0.647619           -4.7893423316e-22 -1.3806862768e-22 2.3774462951e-01 -3.5547248238e-22 -1.0733279472e-22 2.1178809515e-01 -1.2346175078e-22 -3.0735832963e-23 2.5956534358e-02
0.657143           -7.9824253597e-22 -6.8957245988e-22 2.3705790558e-01 -6.3477339177e-22 -6.7642709183e-22 2.1139104458e-01 -1.6346914421e-22 -1.3145368049e-23 2.5666860996e-02
0.666667           4.8804113575e-22 5.0889760747e-23 2.3520251849e-01 4.1746692974e-22 -2.1393799597e-23 2.0980765982e-01 7.0574206009e-23 7.2283560345e-23 2.5394858668e-02
0.67619            4.5637851214e-22 1.7284645231e-22 2.4434266161e-01 5.0203104304e-22 1.4762204454e-22 2.1924032061e-01 -4.5652530898e-23 2.5224407774e-23 2.5102340996e-02
0.685714           -2.1170421624e-22 -3.2213474581e-22 2.4098338195e-01 -1.5096532600e-22 -3.5015116073e-22 2.1610505280e-01 -6.0738890246e-23 2.8016414916e-23 2.4878329148e-02
0.695238           -5.4646947981e-22 -2.7733702159e-22 2.4088317119e-01 -6.1568924742e-22 -3.5218808860e-22 2.1624810357e-01 6.9219767602e-23 7.4851067015e-23 2.4635067621e-02
0.704762           -7.2120243973e-22 -1.1229460466e-21 2.4143703216e-01 -8.0807070882e-22 -1.1688058997e-21 2.1704156431e-01 8.6868269087e-23 4.5859853094e-23 2.4395467846e-02
0.714286           1.1144028088e-22 1.4259768599e-22 2.4050367538e-01 4.6644509909e-23 1.4971475032e-22 2.1635189625e-01 6.4795770967e-23 -7.1170643265e-24 2.4151779129e-02
0.72381            -8.7971890193e-23 -1.6786196542e-22 2.4319583445e-01 -2.3690641641e-23 -1.9492261629e-22 2.1928808002e-01 -6.4281248552e-23 2.7060650868e-23 2.3907754426e-02
0.733333           -4.2665652451e-22 -3.0803273653e-22 2.4268172763e-01 -3.5003936021e-22 -2.9121283450e-22 2.1901336226e-01 -7.6617164305e-23 -1.6819902028e-23 2.3668365369e-02
0.742857           -4.3321012853e-22 -4.0108827161e-22 2.3703343268e-01 -2.6984964254e-22 -3.3257453630e-22 2.1361562857e-01 -1.6336048598e-22 -6.8513735306e-23 2.3417804111e-02
0.752381           -6.8948030875e-22 -8.7410046146e-22 2.3652450881e-01 -5.4601507233e-22 -7.9052021367e-22 2.1333423569e-01 -1.4346523641e-22 -8.3580247793e-23 2.3190273118e-02
0.761905           -8.1332393014e-22 -7.0273967873e-22 2.3905118407e-01 -1.1594955765e-21 -8.7871238203e-22 2.1607606616e-01 3.4617164638e-22 1.7597270331e-22 2.2975117908e-02
0.771429           9.3896329802e-23 1.1810868261e-22 2.3580536657e-01 7.1936176488e-23 9.8071085572e-23 2.1306095447e-01 2.1960153314e-23 2.0037597036e-23 2.2744412103e-02
0.780952           6.4036851349e-23 -1.1673009549e-22 2.3982591674e-01 3.2460737769e-22 3.5781861169e-23 2.1732289676e-01 -2.6057052634e-22 -1.5251195666e-22 2.2503019973e-02
0.790476           4.1848967197e-22 3.7603253002e-22 2.4122423362e-01 4.9484439695e-22 4.1771838440e-22 2.1894733352e-01 -7.6354724975e-23 -4.1685854374e-23 2.2276900096e-02
0.8                2.2784654541e-22 2.3705090600e-22 2.4324803858e-01 2.3420510694e-22 2.6498807549e-22 2.2120104541e-01 -6.3585615301e-24 -2.7937169488e-23 2.2046993174e-02
0.809091           1.2938698875e-22 -2.6709479802e-22 2.4051642919e-01 4.5271224407e-23 -3.4052100855e-22 2.1862597428e-01 8.4115764341e-23 7.3426210533e-23 2.1890454908e-02
0.818182           -4.7774504965e-22 -3.6826964807e-23 2.3660293172e-01 -4.3704547945e-22 8.9591804600e-23 2.1492757858e-01 -4.0699570198e-23 -1.2641876941e-22 2.1675353143e-02
