# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.19998e-05        8.5901542754e+02 2.9629885244e+03 4.8143256658e-19 8.5810821619e+02 2.9629627092e+03 4.8149067058e-19 9.0721135632e-01 2.5815196917e-02 -5.8104001663e-23
2.63998e-05        7.9537863898e+00 2.5332866642e+01 -4.1685284633e-19 7.0502125796e+00 2.5314404291e+01 -4.1614619899e-19 9.0357381025e-01 1.8462350845e-02 -7.0664733113e-22
4.36791e-05        1.4130067991e+00 1.3589344278e+00 9.2056712843e-22 5.1278894481e-01 1.3440090315e+00 1.3972275396e-21 9.0021785429e-01 1.4925396290e-02 -4.7666041118e-22
6.4415e-05         1.7754602407e+00 -6.6463136767e+00 -1.8841562959e-19 8.7837296184e-01 -6.6591093413e+00 -1.8804684259e-19 8.9708727889e-01 1.2795664614e-02 -3.6878700099e-22
8.92981e-05        1.1031745694e+00 -5.1571535360e-01 -1.8789252764e-20 2.0947879760e-01 -5.2712275908e-01 -1.8608374968e-20 8.9369577180e-01 1.1407405480e-02 -1.8087779580e-22
0.000119158        1.1372832152e+00 -4.8666562237e-01 1.6683142613e-20 2.4728564310e-01 -4.9707253696e-01 1.6492282011e-20 8.8999757209e-01 1.0406914594e-02 1.9086060188e-22
0.000154992        1.0393272246e+00 -2.0446562558e+00 5.3264202731e-20 1.5354083606e-01 -2.0542750267e+00 5.2940614910e-20 8.8578638858e-01 9.6187709329e-03 3.2358782078e-22
0.000197997        9.9504568479e-01 2.6053347308e-02 3.5944350426e-20 1.1413151210e-01 1.7069868834e-02 3.5917085099e-20 8.8091417269e-01 8.9834784735e-03 2.7265326851e-23
0.000249599        9.8802042122e-01 1.2246835742e-01 1.6434012596e-21 1.1272279329e-01 1.1403510622e-01 1.8187018648e-21 8.7529762793e-01 8.4332512065e-03 -1.7530060522e-22
0.000311517        9.9236066728e-01 -2.7785323567e-02 3.5928612031e-21 1.2358304991e-01 -3.5722471844e-02 3.8087582674e-21 8.6877761737e-01 7.9371482775e-03 -2.1589706425e-22
0.000385806        1.0383248904e+00 -4.0711977214e-01 6.3705649501e-21 1.7707907384e-01 -4.1459029516e-01 5.7003913295e-21 8.6124581656e-01 7.4705230217e-03 6.7017362057e-22
0.00047496         9.6915881709e-01 3.0054184321e-01 -4.9740030570e-21 1.1670392400e-01 2.9350432874e-01 -4.6677787608e-21 8.5245489309e-01 7.0375144710e-03 -3.0622429620e-22
0.000581944        1.0440330730e+00 5.2050081711e-01 -4.0167754474e-21 2.0168032303e-01 5.1387526276e-01 -4.0970274212e-21 8.4235275000e-01 6.6255543506e-03 8.0251973788e-23
0.000710352        9.5603548932e-01 4.6221479276e-01 -4.3267485991e-21 1.2542062257e-01 4.5597138485e-01 -3.8531874649e-21 8.3061486675e-01 6.2434079062e-03 -4.7356113418e-22
0.000864481        9.2968137716e-01 4.8984673704e-01 -9.7527238139e-21 1.1253653735e-01 4.8398438481e-01 -8.6496277048e-21 8.1714483981e-01 5.8623522253e-03 -1.1030961091e-21
0.00104938         9.0686010561e-01 5.0771626293e-01 4.0580519196e-21 1.0505998446e-01 5.0223752605e-01 4.1324120208e-21 8.0180012115e-01 5.4787368788e-03 -7.4360101257e-23
