# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.19998e-05        -4.3998583939e-19 2.3349701646e-18 2.5547212377e+03 -4.4001217236e-19 2.3349418130e-18 2.5542350516e+03 2.6332972952e-23 2.8351578358e-23 4.8618609843e-01
2.63998e-05        2.0270916509e-19 8.1926361259e-20 2.5550885639e+01 2.0237175064e-19 8.1799882673e-20 2.5074600270e+01 3.3741444703e-22 1.2647858589e-22 4.7628536951e-01
4.36791e-05        -1.0623150805e-21 1.4528300322e-21 2.6456744990e+00 -1.2745315173e-21 1.3386674007e-21 2.1749480553e+00 2.1221643684e-22 1.1416263149e-22 4.7072644365e-01
6.4415e-05         9.4080566438e-20 4.9803052182e-20 -1.7404835962e+00 9.3894978378e-20 5.0085953999e-20 -2.2073632824e+00 1.8558806012e-22 -2.8290181666e-22 4.6687968621e-01
8.92981e-05        8.3272641217e-21 1.3092578129e-20 5.7489118520e-01 8.2409378883e-21 1.3223408873e-20 1.1120181443e-01 8.6326233437e-23 -1.3083074325e-22 4.6368937077e-01
0.000119158        -1.1863514348e-20 -1.5534821205e-22 4.2979492895e-01 -1.1758073636e-20 -1.5366103186e-23 -3.0976643192e-02 -1.0544071213e-22 -1.3998210887e-22 4.6077157214e-01
0.000154992        -2.7205445396e-20 -1.6942712979e-20 -3.4313528731e-01 -2.7054044171e-20 -1.6824296842e-20 -8.0098094561e-01 -1.5140122487e-22 -1.1841613713e-22 4.5784565830e-01
0.000197997        -1.6269331926e-20 -1.9973803388e-20 7.4521371250e-01 -1.6259995181e-20 -1.9764099785e-20 2.9046351980e-01 -9.3367456391e-24 -2.0970360381e-22 4.5475019270e-01
0.000249599        -8.3155165233e-22 -1.1418565164e-21 6.4680391122e-01 -9.0160994205e-22 -1.0918452469e-21 1.9543309716e-01 7.0058289727e-23 -5.0011269541e-23 4.5137081406e-01
0.000311517        -1.8212043201e-21 -7.7308566537e-22 5.4239821260e-01 -1.9309571603e-21 -7.2260506905e-22 9.4800199487e-02 1.0975284020e-22 -5.0480596315e-23 4.4759801311e-01
0.000385806        -4.1862485184e-21 6.6155637832e-21 4.3036342864e-01 -3.8621667164e-21 6.8957878093e-21 -1.2992619883e-02 -3.2408180197e-22 -2.8022402619e-22 4.4335604852e-01
0.00047496         2.3162520870e-21 -1.1497053410e-22 6.9578635968e-01 2.1714666938e-21 -3.6052562886e-23 2.5727833304e-01 1.4478539314e-22 -7.8917971209e-23 4.3850802665e-01
0.000581944        2.5444373268e-21 9.0487149974e-21 8.1993837746e-01 2.5652654012e-21 9.0929613196e-21 3.8692408250e-01 -2.0828074380e-23 -4.4246322190e-23 4.3301429496e-01
0.000710352        1.9656760986e-21 1.3504181769e-21 7.5218793217e-01 1.7474997627e-21 1.1364670048e-21 3.2547154870e-01 2.1817633593e-22 2.1395117207e-22 4.2671638348e-01
0.000864481        4.9140864464e-21 9.0460728127e-22 7.5053508525e-01 4.3755237704e-21 4.2767318931e-22 3.3098383749e-01 5.3856267600e-22 4.7693409196e-22 4.1955124775e-01
0.00104938         -2.0611433732e-21 -1.7312471075e-21 7.4550452834e-01 -2.0829241769e-21 -1.7290726429e-21 3.3406803349e-01 2.1780803691e-23 -2.1744645305e-24 4.1143649485e-01
0.00127118         9.0178466043e-22 1.7508987810e-21 6.5636014929e-01 7.1219536795e-22 1.4634243089e-21 2.5405500513e-01 1.8958929248e-22 2.8747447213e-22 4.0230514415e-01
0.00153721         -6.1121762008e-22 4.6483537275e-22 7.1676424009e-01 -5.3716229275e-22 2.7673389256e-22 3.2467077971e-01 -7.4055327340e-23 1.8810148019e-22 3.9209346038e-01
0.00185628         1.6111369335e-21 7.4947069519e-22 7.1352385507e-01 1.3929523300e-21 6.5250900171e-22 3.3275925619e-01 2.1818460348e-22 9.6961693482e-23 3.8076459889e-01
0.0022388          -1.0342647765e-21 -4.9710751356e-22 7.0493194763e-01 -1.0276235525e-21 -5.5548628367e-22 3.3656692425e-01 -6.6412239539e-24 5.8378770114e-23 3.6836502338e-01
0.00269764         1.7121426589e-21 8.5709598795e-22 6.9330588276e-01 1.5215290321e-21 4.9948915469e-22 3.3835523615e-01 1.9061362678e-22 3.5760683326e-22 3.5495064662e-01
0.00324877         -9.9891837713e-22 2.5668771022e-22 6.7939550545e-01 -1.0575772397e-21 5.1466757597e-23 3.3883983091e-01 5.8658862549e-23 2.0522095262e-22 3.4055567454e-01
0.00390901         -3.9404536188e-22 -3.1009423188e-22 6.6368070175e-01 -2.6173132081e-22 -2.7640098636e-22 3.3840045825e-01 -1.3231404106e-22 -3.3693245517e-23 3.2528024349e-01
0.0046997          8.3396632567e-22 1.1472150139e-21 6.4086966409e-01 7.7657056602e-22 8.8255589231e-22 3.3163259638e-01 5.7395759650e-23 2.6465912159e-22 3.0923706771e-01
0.00564775         7.0797670562e-22 3.2848395663e-22 6.2475483105e-01 6.6584563962e-22 1.9579567314e-22 3.3227105717e-01 4.2131065995e-23 1.3268828349e-22 2.9248377388e-01
0.00678432         1.8596763964e-24 6.3126527033e-23 6.0288765280e-01 -2.3601803110e-24 8.7439510545e-23 3.2776803289e-01 4.2198567074e-24 -2.4312983512e-23 2.7511961992e-01
0.00814499         5.6885644168e-24 2.5206048783e-22 5.8406945650e-01 -6.1423974806e-23 1.8184638196e-22 3.2677868834e-01 6.7112539223e-23 7.0214105868e-23 2.5729076817e-01
0.00977088         -3.8634231178e-22 -1.0292491959e-22 5.5672843031e-01 -4.9817430867e-22 -2.8524401611e-22 3.1756697691e-01 1.1183199689e-22 1.8231909652e-22 2.3916145340e-01
0.011712           -4.2822009723e-23 1.8235774074e-22 5.3054271953e-01 -1.7875861806e-22 3.4754924872e-23 3.0960066261e-01 1.3593660834e-22 1.4760281587e-22 2.2094205692e-01
