# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.609524          	nut               	0.0000000000e+00	(1.1790291835e-01 -3.7334381155e-01 0.0000000000e+00)	0	9.4223484993e-04	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.609524          	U                 	(5.9878312640e-01 -2.2255142981e-01 -1.1362117870e-23)	(1.0500000000e+00 -5.5000000000e-01 0.0000000000e+00)	0	(1.0979878092e+00 2.7399069874e-01 5.8064007777e-23)	(1.5913690039e-02 -2.8696351800e-01 0.0000000000e+00)	0
0.609524          	k                 	1.9659069096e-06	(9.7264089156e-01 -5.8378868997e-01 -1.3224424666e-17)	0	1.0000000000e-02	(1.5000000000e-01 -5.5000000000e-01 0.0000000000e+00)	0
0.609524          	p                 	-5.0430682311e-01	(1.6016693616e-01 -3.7477325790e-01 0.0000000000e+00)	0	5.4798548232e-01	(3.1166428563e-03 -4.0761685648e-01 -5.9158795799e-17)	0
0.609524          	omega             	6.3958427337e+00	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746609e+04	(9.7316333424e-01 -5.8798602582e-01 0.0000000000e+00)	0
0.619048          	nut               	0.0000000000e+00	(1.1816626547e-01 -3.7160385325e-01 0.0000000000e+00)	0	9.5427881201e-04	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.619048          	U                 	(9.0013012733e-01 -2.7549342615e-01 -3.4341240801e-23)	(9.5000000000e-01 -4.5000000000e-01 0.0000000000e+00)	0	(1.1514445994e+00 3.4951082186e-01 5.5259130372e-23)	(3.6036727013e-02 -3.1450038756e-01 3.0473800548e-17)	0
0.619048          	k                 	1.8626661895e-06	(9.7229014894e-01 -5.8452741088e-01 3.8544633797e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.619048          	p                 	-5.3463568270e-01	(1.6042595867e-01 -3.7315590002e-01 0.0000000000e+00)	0	5.2189448852e-01	(3.2810480833e-03 -4.0554376303e-01 0.0000000000e+00)	0
0.619048          	omega             	6.2831538978e+00	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746588e+04	(9.7280041310e-01 -5.8872624466e-01 0.0000000000e+00)	0
0.628571          	nut               	0.0000000000e+00	(1.1843080962e-01 -3.6984918941e-01 0.0000000000e+00)	0	9.6671975392e-04	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.628571          	U                 	(8.9856769053e-01 -2.7580798579e-01 -1.3137455138e-22)	(9.5000000000e-01 -4.5000000000e-01 0.0000000000e+00)	0	(1.1571699900e+00 2.8246209753e-01 1.0430214585e-22)	(4.1436694308e-02 -2.8791502095e-01 -2.3164842923e-17)	0
0.628571          	k                 	1.7721016712e-06	(9.7193479112e-01 -5.8524418304e-01 -5.0640418263e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.628571          	p                 	-6.2364186591e-01	(1.6068583326e-01 -3.7152355365e-01 0.0000000000e+00)	0	4.3353311440e-01	(3.4478318109e-03 -4.0345641282e-01 0.0000000000e+00)	0
0.628571          	omega             	6.1711788244e+00	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746565e+04	(9.7243289928e-01 -5.8944447623e-01 0.0000000000e+00)	0
0.638095          	nut               	0.0000000000e+00	(1.1869650757e-01 -3.6808001472e-01 0.0000000000e+00)	0	9.7965303632e-04	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.638095          	U                 	(6.9102610749e-01 -1.9567370670e-01 -1.8097334861e-23)	(3.8754931686e-02 -4.5654218082e-01 -2.2371355120e-17)	0	(1.0069965282e+00 1.6557184754e-01 2.3642387945e-22)	(-9.0185818956e-02 -2.4570406545e-01 0.0000000000e+00)	0
0.638095          	k                 	1.6921809564e-06	(9.7157489647e-01 -5.8593892193e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.638095          	p                 	-5.4226896191e-01	(1.6094651965e-01 -3.6987639915e-01 0.0000000000e+00)	0	5.1805006980e-01	(3.6169558103e-03 -4.0135504166e-01 -2.5794334320e-17)	0
0.638095          	omega             	6.0592845185e+00	(8.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746548e+04	(9.7206087264e-01 -5.9014063608e-01 0.0000000000e+00)	0
0.647619          	nut               	0.0000000000e+00	(1.1896331536e-01 -3.6629652346e-01 0.0000000000e+00)	0	8.8476255324e-04	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1
0.647619          	U                 	(7.9662611108e-01 -1.6753335398e-01 -6.6517386484e-23)	(2.5923791097e-02 -4.8440644207e-01 -2.9871758438e-17)	0	(1.2070406867e+00 4.3907017735e-01 2.5106295978e-23)	(4.9302347048e-02 -3.4340825911e-01 -1.4164537791e-17)	0
0.647619          	k                 	1.6150735353e-06	(9.7121054567e-01 -5.8661154370e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.647619          	p                 	-5.8338236579e-01	(1.6120797701e-01 -3.6821461650e-01 0.0000000000e+00)	0	4.8204820196e-01	(3.7883806965e-03 -3.9923988507e-01 0.0000000000e+00)	0
0.647619          	omega             	6.8888550402e+00	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1	7.8141746533e+04	(9.7168441531e-01 -5.9081464043e-01 0.0000000000e+00)	0
0.657143          	nut               	0.0000000000e+00	(1.1923118833e-01 -3.6449890952e-01 0.0000000000e+00)	0	8.7899461466e-04	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1
0.657143          	U                 	(9.2875690898e-01 -2.7962894362e-01 -1.7051035854e-23)	(8.5000000000e-01 -4.5000000000e-01 0.0000000000e+00)	0	(1.0380358206e+00 2.0700626076e-01 3.0222443074e-22)	(-4.0036336926e-02 -2.5135532716e-01 2.3229343597e-17)	0
0.657143          	k                 	1.5390993279e-06	(9.7084182164e-01 -5.8726196516e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.657143          	p                 	-6.6630709747e-01	(1.6147016390e-01 -3.6653838529e-01 0.0000000000e+00)	0	3.9806300870e-01	(3.9620659369e-03 -3.9711117825e-01 0.0000000000e+00)	0
0.657143          	omega             	6.8811390766e+00	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1	7.8141746516e+04	(9.7130361165e-01 -5.9146640621e-01 0.0000000000e+00)	0
0.666667          	nut               	0.0000000000e+00	(1.1950008108e-01 -3.6268736637e-01 0.0000000000e+00)	0	8.7265330254e-04	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1
0.666667          	U                 	(3.3432364460e-01 -1.9273238087e-01 -5.5085680068e-23)	(1.0294117202e+00 -5.6976223350e-01 0.0000000000e+00)	0	(1.0908233455e+00 3.3967892306e-01 1.1708680827e-22)	(1.3771942794e-02 -2.9904817302e-01 -2.3943113512e-17)	0
0.666667          	k                 	1.4684508078e-06	(9.7046880951e-01 -5.8789010382e-01 -2.7577489531e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.666667          	p                 	-6.6790705617e-01	(1.6173303834e-01 -3.6484788475e-01 0.0000000000e+00)	0	3.9932550820e-01	(4.1379698610e-03 -3.9496915604e-01 0.0000000000e+00)	0
0.666667          	omega             	6.8736285046e+00	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1	7.8141746500e+04	(9.7091854829e-01 -5.9209585103e-01 0.0000000000e+00)	0
0.67619           	nut               	0.0000000000e+00	(1.1976994751e-01 -3.6086208708e-01 0.0000000000e+00)	0	8.6569907827e-04	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1
0.67619           	U                 	(7.8956853906e-01 -1.4798268587e-01 -1.1027601995e-22)	(1.2310121909e+00 -5.2506797216e-01 0.0000000000e+00)	0	(1.0534918314e+00 4.1587702470e-01 1.6448654195e-22)	(8.9630657093e-03 -3.2147613213e-01 1.4358498675e-17)	0
0.67619           	k                 	1.3838712818e-06	(9.7009159665e-01 -5.8849587787e-01 2.7577489531e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.67619           	p                 	-4.4589895826e-01	(1.6199655778e-01 -3.6314329368e-01 0.0000000000e+00)	0	6.2891099228e-01	(4.3160496702e-03 -3.9281405297e-01 0.0000000000e+00)	0
0.67619           	omega             	6.8663780504e+00	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1	7.8141746485e+04	(9.7052931405e-01 -5.9270289321e-01 0.0000000000e+00)	0
0.685714          	nut               	0.0000000000e+00	(1.2004074081e-01 -3.5902326431e-01 0.0000000000e+00)	0	8.5814503192e-04	(1.5500000000e+00 -5.5000000000e-01 -2.3226019873e-17)	1
0.685714          	U                 	(5.6963765331e-01 -2.1668349661e-01 -2.3617035472e-23)	(1.0830254019e+00 -5.5760878622e-01 0.0000000000e+00)	0	(1.1178064455e+00 2.7805556707e-01 9.3214570136e-23)	(2.0066049113e-02 -2.7031915604e-01 0.0000000000e+00)	0
0.685714          	k                 	1.3126108142e-06	(9.6971027262e-01 -5.8907920625e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.685714          	p                 	-6.3684159560e-01	(1.6226067911e-01 -3.6142479054e-01 0.0000000000e+00)	0	4.4413543799e-01	(4.4962614479e-03 -3.9064610321e-01 -1.8224207162e-17)	0
