# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
1.19998e-05       	nut               	0.0000000000e+00	(1.0436568743e-01 -4.5246649191e-01 0.0000000000e+00)	0	6.6666964244e-04	(4.3941460788e-02 -5.6812388622e-01 -2.9916472242e-17)	0
1.19998e-05       	U                 	(6.8420435431e-01 -3.8240841094e-01 -1.4694418143e-22)	(-4.7635775056e-03 -5.1763141672e-01 -1.3853200712e-17)	0	(1.1654000867e+00 2.9566401202e-01 6.2903442344e-23)	(9.7567270627e-02 -4.4830762902e-01 -1.2596504135e-17)	0
1.19998e-05       	k                 	9.8830816030e-03	(9.8503234585e-01 -4.9682746452e-01 0.0000000000e+00)	0	1.1058446336e-02	(9.8503232076e-01 -5.0319046452e-01 0.0000000000e+00)	0
1.19998e-05       	p                 	-6.8120943158e+03	(8.3512942391e-01 -4.7703020676e-01 0.0000000000e+00)	0	5.2434343684e+03	(1.5156621845e-02 -4.7755230681e-01 0.0000000000e+00)	0
1.19998e-05       	omega             	1.4999798806e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142985483e+04	(9.8503234585e-01 -4.9682746452e-01 0.0000000000e+00)	0
2.63998e-05       	nut               	0.0000000000e+00	(1.0436591236e-01 -4.5246528221e-01 0.0000000000e+00)	0	6.6667320038e-04	(4.3941138435e-02 -5.6812239060e-01 0.0000000000e+00)	0
2.63998e-05       	U                 	(6.3104794421e-01 -4.0153670822e-01 -7.2676063798e-24)	(-4.7636609327e-03 -5.1762969063e-01 0.0000000000e+00)	0	(1.0896814712e+00 3.5364099897e-01 3.0155334652e-23)	(2.7475317564e-02 -4.7107678185e-01 0.0000000000e+00)	0
2.63998e-05       	k                 	9.7784284631e-03	(9.8503236085e-01 -4.9683042205e-01 0.0000000000e+00)	0	1.2278826263e-02	(9.8503230565e-01 -5.0319342205e-01 0.0000000000e+00)	0
2.63998e-05       	p                 	-4.7105094593e+01	(9.6537900975e-01 -4.9214887298e-01 1.0191026764e-17)	0	1.4196452330e+02	(4.4311937852e-03 -4.8542510026e-01 -1.0450328819e-17)	0
2.63998e-05       	omega             	1.4999557374e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142970993e+04	(9.8503236085e-01 -4.9683042205e-01 0.0000000000e+00)	0
4.36791e-05       	nut               	0.0000000000e+00	(1.0436618226e-01 -4.5246383069e-01 0.0000000000e+00)	0	6.6667734833e-04	(9.6245868098e-01 -4.3791148629e-01 -2.9293957129e-17)	0
4.36791e-05       	U                 	(6.6140934180e-01 -4.6318860484e-01 -2.6543448679e-23)	(-1.5729847948e-03 -5.0838720266e-01 0.0000000000e+00)	0	(1.1841342808e+00 5.7330239574e-01 3.2423681793e-24)	(1.0057262490e+00 -5.0608237751e-01 0.0000000000e+00)	0
4.36791e-05       	k                 	9.6408532696e-03	(9.9057249669e-01 -4.9668213878e-01 0.0000000000e+00)	0	1.3685664406e-02	(9.8503228751e-01 -5.0319697099e-01 0.0000000000e+00)	0
4.36791e-05       	p                 	-3.9213263016e+01	(-8.4881228370e-03 -4.9700465003e-01 0.0000000000e+00)	0	2.4561288083e+01	(4.4312765460e-03 -4.8542308131e-01 1.0450328819e-17)	0
4.36791e-05       	omega             	1.4999267680e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142958023e+04	(9.8503237884e-01 -4.9683397099e-01 0.0000000000e+00)	0
6.4415e-05        	nut               	0.0000000000e+00	(1.0436650617e-01 -4.5246208888e-01 0.0000000000e+00)	0	6.6668229298e-04	(-4.3576656091e-02 -5.4363082692e-01 -5.3252645344e-17)	0
6.4415e-05        	U                 	(6.3131564479e-01 -4.7728948931e-01 -2.8593316636e-24)	(-1.5730419396e-03 -5.0838473899e-01 -3.3364461478e-17)	0	(1.2170370321e+00 3.0294557993e-01 1.0427038993e-24)	(6.5017635103e-02 -4.5896875598e-01 0.0000000000e+00)	0
6.4415e-05        	k                 	9.4888035934e-03	(9.9057251928e-01 -4.9668643548e-01 0.0000000000e+00)	0	1.5298282285e-02	(9.8503226571e-01 -5.0320122995e-01 0.0000000000e+00)	0
6.4415e-05        	p                 	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0	6.7500801376e+01	(3.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2
6.4415e-05        	omega             	1.4998920052e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142946439e+04	(9.8503240039e-01 -4.9683822995e-01 0.0000000000e+00)	0
8.92981e-05       	nut               	0.0000000000e+00	(1.0436689488e-01 -4.5245999882e-01 0.0000000000e+00)	0	6.6668806522e-04	(9.8114311766e-01 -5.4308298195e-01 -5.4062297323e-17)	0
8.92981e-05       	U                 	(4.3640153875e-01 -2.7424828026e-01 -5.6655710157e-25)	(-2.4577593281e-03 -5.0292064467e-01 -8.3557303273e-18)	0	(1.1772779067e+00 2.6851931913e-01 8.9669259555e-26)	(9.7064598142e-02 -4.4160797465e-01 2.9080565627e-17)	0
8.92981e-05       	k                 	9.3252544250e-03	(9.9057254635e-01 -4.9669159165e-01 0.0000000000e+00)	0	1.7124212526e-02	(9.8503223950e-01 -5.0320634082e-01 0.0000000000e+00)	0
8.92981e-05       	p                 	-9.4029319757e-02	(-8.4880779034e-03 -4.9699912640e-01 -1.7521269554e-17)	0	2.1928409133e+01	(3.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2
8.92981e-05       	omega             	1.4998502921e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142935039e+04	(9.8503242622e-01 -4.9684334082e-01 0.0000000000e+00)	0
0.000119158       	nut               	0.0000000000e+00	(1.0436736134e-01 -4.5245749091e-01 0.0000000000e+00)	0	6.6669485724e-04	(9.8114269489e-01 -5.4308907699e-01 2.3499914211e-17)	0
0.000119158       	U                 	(6.2378538118e-01 -3.8336110906e-01 -1.7720983244e-24)	(-4.7641981497e-03 -5.1761857295e-01 -2.6960046971e-17)	0	(1.0981698321e+00 4.0790673440e-01 9.8431111997e-27)	(4.7284656145e-02 -4.5444955788e-01 0.0000000000e+00)	0
0.000119158       	k                 	9.1499817823e-03	(9.9057257877e-01 -4.9669777922e-01 -2.2506811902e-17)	0	1.9151610290e-02	(9.8503220800e-01 -5.0321247402e-01 0.0000000000e+00)	0
0.000119158       	p                 	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0	3.3646664652e+01	(5.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2
0.000119158       	omega             	1.4998002397e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142922783e+04	(9.8503245715e-01 -4.9684947403e-01 0.0000000000e+00)	0
0.000154992       	nut               	0.0000000000e+00	(1.0436792116e-01 -4.5245448147e-01 0.0000000000e+00)	0	6.6670284632e-04	(1.0124711320e+00 -4.3773320806e-01 7.1907598582e-18)	0
0.000154992       	U                 	(5.7231130435e-01 -4.9757598606e-01 -1.4179566273e-24)	(-1.5732913739e-03 -5.0837397839e-01 -2.5794334320e-17)	0	(1.1311558319e+00 3.2404322024e-01 1.3525564320e-25)	(6.9003197632e-02 -4.4473927156e-01 0.0000000000e+00)	0
0.000154992       	k                 	8.9624975074e-03	(9.9057261759e-01 -4.9670520498e-01 2.9496961590e-17)	0	2.1344150714e-02	(9.8503217012e-01 -5.0321983455e-01 0.0000000000e+00)	0
0.000154992       	p                 	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0	3.1756772421e+01	(4.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2
0.000154992       	omega             	1.4997401781e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142908975e+04	(9.8503249419e-01 -4.9685683456e-01 0.0000000000e+00)	0
0.000197997       	nut               	0.0000000000e+00	(1.0436859307e-01 -4.5245087010e-01 0.0000000000e+00)	0	6.6671513164e-04	(-4.3578570960e-02 -5.4361311400e-01 0.0000000000e+00)	0
0.000197997       	U                 	(6.3057775472e-01 -3.8191900231e-01 -8.2675150058e-26)	(-4.7646545102e-03 -5.1760912486e-01 0.0000000000e+00)	0	(1.1330861408e+00 3.2297585042e-01 1.1511201218e-25)	(6.9003978566e-02 -4.4473516041e-01 7.0117817283e-19)	0
0.000197997       	k                 	8.7617683597e-03	(9.9057266407e-01 -4.9671411721e-01 -2.2506811902e-17)	0	2.3638539847e-02	(9.8503212453e-01 -5.0322866848e-01 0.0000000000e+00)	0
0.000197997       	p                 	-2.3418098183e+01	(9.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0
0.000197997       	omega             	1.4996681033e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142892811e+04	(9.8503253852e-01 -4.9686566849e-01 0.0000000000e+00)	0
0.000249599       	nut               	0.0000000000e+00	(1.0436939934e-01 -4.5244653730e-01 0.0000000000e+00)	0	6.6672756087e-04	(-4.3579310472e-02 -5.4360627250e-01 0.0000000000e+00)	0
0.000249599       	U                 	(6.3363607141e-01 -3.8202644151e-01 -1.0523007665e-24)	(-4.7649530868e-03 -5.1760294152e-01 4.1559602137e-17)	0	(1.2165149641e+00 5.2201204754e-02 8.9489267876e-25)	(2.5356918944e-01 -4.3680570643e-01 -2.3241674860e-17)	0
0.000249599       	k                 	8.5479497342e-03	(9.9057271966e-01 -4.9672481146e-01 2.9496961590e-17)	0	2.5938418289e-02	(9.8503206965e-01 -5.0323926877e-01 0.0000000000e+00)	0
0.000249599       	p                 	-5.5822056257e+00	(9.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2	4.3816509683e+00	(4.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2
0.000249599       	omega             	1.4995816311e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142873266e+04	(9.8503259154e-01 -4.9687626880e-01 0.0000000000e+00)	0
0.000311517       	nut               	0.0000000000e+00	(1.0437036691e-01 -4.5244133891e-01 0.0000000000e+00)	0	6.6674220179e-04	(-4.3580197700e-02 -5.4359806379e-01 -3.0209837914e-17)	0
0.000311517       	U                 	(3.6422434024e-01 -2.4838350500e-01 -1.4119351811e-24)	(-2.4579717789e-03 -5.0289418402e-01 0.0000000000e+00)	0	(1.1160987033e+00 4.0722769987e-01 8.6879347981e-26)	(4.7287535902e-02 -4.5442979764e-01 0.0000000000e+00)	0
0.000311517       	k                 	8.3214024150e-03	(9.9057278611e-01 -4.9673764461e-01 6.9901496881e-18)	0	2.8114544156e-02	(9.8503200356e-01 -5.0325198919e-01 0.0000000000e+00)	0
0.000311517       	p                 	-4.4253360866e+00	(9.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2	1.8049125264e+00	(4.5000000000e-01 -2.5000000000e-01 0.0000000000e+00)	2
