# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
1.19998e-05       	1.1992400230e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
2.63998e-05       	1.1992765518e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
4.36791e-05       	1.1992698172e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
6.4415e-05        	1.1993465731e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
8.92981e-05       	1.1993704162e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000119158       	1.1994306835e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000154992       	1.1994846172e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000197997       	1.1994356144e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000249599       	1.1994355071e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000311517       	1.1994289489e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000385806       	1.1994767029e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00047496        	1.1994958062e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000581944       	1.1995578247e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000710352       	1.1995830246e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.000864481       	1.1996025465e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00104938        	1.1996183613e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00127118        	1.1996510538e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00153721        	1.1996679076e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00185628        	1.1996817207e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0022388         	1.1996936091e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00269764        	1.1997041021e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00324877        	1.1997134157e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00390901        	1.1997217919e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0046997         	1.1997258827e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00564775        	1.1997320065e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00678432        	1.1997377719e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00814499        	1.1997363193e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.00977088        	1.1997382183e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.011712          	1.1997398604e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0140365         	1.1997409544e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0168121         	1.1997414279e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0201428         	1.1997411728e+01
# Region type :   patch outlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
